yiddish	qid	kima_id	kima_rom	kima_heb	lat	lon	label_en	occurrences	fields
מונקאָטש	Q146456	1638	Mukacheve (Ukraine)	מונקטש (אוקראינה)	48.441388888889	22.713611111111	Mukachevo	2	settlements
מילאַן	Q490	231	Milan (Italy)	מילנו (איטליה)	45.466944444444	9.19	Milan	2	settlements
מילוואַקי	Q37836	7493	Milwaukee (Wis.)	מילווקי (ויסקונסין)	43.05	-87.95		2	settlements
נואָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		2	settlements
ניו יאַרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		2	settlements
ניו יארק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		2	settlements
ניו-יאָָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		2	settlements
ניקאָ'אַיעוו	Q41572	10962	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)	46.966666666667	32.0	Mykolaiv	2	settlements
סאַמאַרקאַנד	Q5753	635	Samarqand (Uzbekistan)	סמרקנד (אוזבקיסטן)	39.6547222222222	66.9758333333333		2	settlements
סאַנטיאגאָ	Q2887	7869	Santiago (Chile)	סנטיאגו (צ'ילה)	-33.4375	-70.65		2	settlements
סאָכאַטשאָוו	Q250485	18416	Sochaczew (Poland)	סוכטשוב (פולין)	52.225	20.2333333333333	Sochaczew	2	settlements
סאָן פראַנציסקאָ	Q62	6462	San Francisco (Calif.)	סן פרנסיסקו (קליפורניה)	37.7775	-122.416388888889		2	settlements
סאָן פֿראַנציסקאָ	Q62	6462	San Francisco (Calif.)	סן פרנסיסקו (קליפורניה)	37.7775	-122.416388888889		2	settlements
סובאָלק	Q236083	30	Suwałki (Poland)	סובלקי (פולין)	54.1	22.9333333333333	Suwałki	2	settlements
סטאַניסלאַוואָוו	Q156726	526	Stanislav (Ukraine)	סטניסלב (אוקראינה)	48.922777777778	24.710555555556		2	settlements
סטרי	Q158923	1743	Stryĭ (Ukraine)	סטריי (אוקראינה)	49.25	23.85		2	settlements
סימפעראָפּאָל	Q19566	101	Simferopol (Ukraine)	סימפרופול (אוקראינה)	44.948376	34.100039		2	settlements
פּאָלטאווע	Q156747	511	Poltava (Ukraine)	פולטבה (אוקראינה)	49.5894444444444	34.5513888888889	Poltava	2	settlements
פּיאַטריקאָוו		27136	Piotrków Trybunalski (Poland : Powiat)	פיוטרקוב (פולין : מחוז)	51.4	19.683333333333	Piotrków Trybunalski	2	settlements
פּעטערסבורג	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667	Saint Petersburg	2	settlements
פּעטראָגראַד	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		2	settlements
פילאָדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		2	settlements
קאָלאָמעאַ	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	48.516666666667	25.033333333333	Kolomyia	2	settlements
קאָליפֿאַרניע	Q99	7652	California	קליפורניה	37.0	-120.0	California	2	province;settlements
קאמענעץ-פּאַדאָלסק	Q193965	9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קמיניץ-פודולסק (אוקראינה)	48.680555555556	26.580555555556		2	settlements
קוטנע	Q202160	384	Kutno (Poland)	קוטנו (פולין)	52.233333333333	19.366666666667	Kutno	2	settlements
קוראָוו	Q2316	13831	Kurów (Lublin, Poland)	קורוב (פולין)	51.3897222222222	22.1861111111111	Kurów	2	settlements
קראַקע	Q31487	489	Krakow (Poland)	קרקוב (פולין)	50.061388888889	19.937222222222		2	settlements
קרעמעניץ	Q849116	658	Kremenets (Ukraine)	קרמניץ (אוקראינה)	50.108055555556	25.7275		2	settlements
שאַוול	Q134712	298	Šiauliai (Lithuania)	שול (ליטא)	55.928055555556	23.316666666667	Šiauliai	2	settlements
שיקאַגא	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		2	settlements
שעדלעץ	Q319813	294	Siedlce (Poland)	שדלץ (פולין)	52.183333333333	22.283333333333	Siedlce	2	settlements
Boston	Q311975	7080	Boston (England)	בוסטון (אנגליה)	52.9746	-0.0214		1	settlements
Michigan	Q1166	8828	Michigan	מישיגן	44.34	-85.58		1	venues
New York	Q3708418	5131	New York (State), Western	ניו יורק (מדינה), מערב	43.326666666667	-75.3925		1	settlements
א'י	Q1724334	18352	Ay (France : Canton)	אי (צרפת : קנטון)	49.055611111111	4.0038611111111		1	settlements
אַטלאַנטיק סיטי	Q139564	712	Atlantic City (N.J.)	אטלנטיק סיטי (ניו ג'רזי)	39.3625	-74.425		1	settlements
אַמבו	Q651860	11944	Embu (Brazil)	אמבו (ברזיל)	-23.648888888889	-46.851944444444		1	venues
אַמסטערדאַם	Q727	550	Amsterdam (Netherlands)	אמסטרדם (הולנד)	52.3727777777778	4.89361111111111	Amsterdam	1	settlements
אַרץ-ישראל	Q801	697	Israel	ישראל	31.0	35.0	Land of Israel	1	countries
אָדעססא	Q1874	740	Odesa (Ukraine)	אודסה (אוקראינה)	46.47747	30.73262		1	settlements
אָדעססאַ	Q1874	740	Odesa (Ukraine)	אודסה (אוקראינה)	46.47747	30.73262		1	settlements
אָטוואָצק	Q745059	741	Otwock (Poland)	אוטבוצק (פולין)	52.116666666667	21.266666666667		1	settlements
אינסברוק	Q1735	7771	Innsbruck (Austria)	אינסברוק (אוסטריה)	47.268333333333	11.393333333333		1	settlements
אליקא	Q1050383	1645	Olyka (Ukraine)	אוליקה (אוקראינה)	50.716666666667	25.816666666667		1	place
ב. א.	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444	Buenos Aires	1	settlements
בּוּקאַרעסט	Q19660	656	Bucharest (Romania)	בוקרסט (רומניה)	44.4133611111111	26.0977777777778		1	settlements
באַזעל	Q78	521	Basel (Switzerland)	בזל (שווייץ)	47.560555555556	7.5905555555556		1	settlements
באַטאָשאַן	Q178855	683	Botosani (Romania)	בוטושן (רומניה)	47.748611111111	26.669444444444		1	settlements
באַלטימאַר	Q5092	515	Baltimore (Md.)	בולטימור (מרילנד)	39.286388888889	-76.615		1	settlements
באָזעל	Q78	521	Basel (Switzerland)	בזל (שווייץ)	47.560555555556	7.5905555555556		1	settlements
באָטאָשאן	Q178855	683	Botosani (Romania)	בוטושן (רומניה)	47.748611111111	26.669444444444		1	settlements
באָלטאָ	Q805554	21649	Balta (Ukraine)	בלטה (אוקראינה)	47.936111111111	29.6225		1	settlements
באׁסטאָן	Q100	516	Boston (Mass.)	בוסטון (מסצ'וסטס)	42.3602777777778	-71.0577777777778		1	settlements
בוּענאָס-איירעס	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444		1	settlements
בודאַפּעסט	Q1781	513	Budapest (Hungary)	בודפסט (הונגריה)	47.498333333	19.040833333		1	settlements
בודאַפּעשט	Q1781	513	Budapest (Hungary)	בודפסט (הונגריה)	47.498333333	19.040833333		1	settlements
בוטשאַטש	Q849109	360	Buchach (Ukraine)	בוצ'ץ' (אוקראינה)	49.064722222222	25.387222222222		1	province
בויסק	Q498256	16013	Bauska (Latvia)	באוסקה (לטביה)	56.406666666667	24.1875		1	settlements
בוענאָס אַיירעס	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444		1	settlements
ביאָליסטאָק	Q761	523	Białystok (Poland)	ביאליסטוק (פולין)	53.116666666667	23.166666666667		1	settlements
ביירוט	Q3820	651	Beirut (Lebanon)	בירות (לבנון)	33.886944444444	35.513055555556		1	settlements
ביראָבידזשאָן	Q7769	6905	Birobidzhan (Russia)	בירוביג'אן (רוסיה)	48.783333333333	132.93333333333	Birobidzhan	1	settlements
בית אל	Q430939	698	Bet El (West Bank)	בית אל (גדה מערבית)	31.942	35.222		1	venues
בן-שמן	Q2777009	21911	Kefar ha-Noar Ben Shemen (Israel)	כפר הנוער בן שמן (ישראל)	31.959019444444	34.927830555556		1	venues
בערלאָד	Q335868	649	Bîrlad (Romania)	בירלד (רומניה)	46.216666666667	27.666666666667		1	settlements
בערלאד	Q335868	649	Bîrlad (Romania)	בירלד (רומניה)	46.216666666667	27.666666666667		1	settlements
בראַנזווייל	Q991279	12357	Brownsville (New York, N.Y.)	ברונזויל (ניו יורק, ניו יורק)	40.660652777778	-73.910780555556	Brownsville	1	settlements
בראַנסקער		10787	Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)	40.84676	-73.873207	Bronx	1	settlements
בראָזיל	Q155	7255	Brazil	ברזיל	-14.0	-53.0		1	countries
בראָנזווייל	Q991279	12357	Brownsville (New York, N.Y.)	ברונזויל (ניו יורק, ניו יורק)	40.660652777778	-73.910780555556	Brownsville	1	settlements
בראָנסקער		10787	Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)	40.84676	-73.873207	Bronx	1	settlements
ברדיטשוב	Q158799	571	Berdychiv (Ukraine)	ברדיצ'ב (אוקראינה)	49.891944444444	28.6		1	settlements
ברוקליין	Q49142	373	Brookline (Mass.)	ברוקליין (מסצ'וסטס)	42.331666666667	-71.121666666667		1	settlements
ברין	Q14960	7728	Brno (Czech Republic)	ברנו (צ'כיה)	49.195277777778	16.608333333333		1	settlements
בריק ליין		6712	Brick Lane (London, England)	בריק ליין (לונדון, אנגליה)				1	addresses
בראָנקס		10787	Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)	40.84676	-73.873207	Bronx	1	settlements
גראדנע	Q181376	882	Hrodna (Belarus)	גרודנו (בלארוס)	53.666666666667	23.816666666667		1	settlements
דווינסק	Q80021	898	Daugavpils (Latvia)	דוינסק (לטביה)	55.871388888889	26.516111111111		1	settlements
דראָהאָביטש	Q135446	366	Dorogobuzh (Russia)	דראהאביטש (רוסיה)	54.915	33.29722		1	settlements
האַנאָווער	Q1715	979	Hannover (Germany)	הנובר (גרמניה)	52.374444444444	9.7386111111111		1	settlements
האָוואַנאַ	Q1563	7527	Havana (Cuba)	הוואנה (קובה)	23.136666666667	-82.358888888889	Havana	1	settlements
האָליוואוּד	Q34006	6953	Hollywood (Los Angeles, Calif.)	הוליווד (לוס אנג'לס, קליפורניה)	34.0983333333333	-118.326666666667	Hollywood	1	settlements
האָמבורג	Q1055	994	Hamburg (Germany)	המבורג (גרמניה)	53.55	10.0	Hamburg	1	settlements
הר הכרמל	Q185318	1156	Karmel, Mount (Israel)	הר הכרמל (ישראל)	32.6725	35.023333		1	venues
האַמבורג	Q1055	994	Hamburg (Germany)	המבורג (גרמניה)	53.55	10.0	Hamburg	1	settlements
ווארשע	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111		1	settlements
וויין	Q49370544	12896	Wayne (N.J.)	וויין (ניו ג'רזי)	40.925277777778	-74.276666666667		1	settlements
ווילנא	Q216	943	Vilnius (Lithuania)	וילנה (ליטא)	54.6872222222222	25.28		1	settlements
ווילנאַ	Q216	943	Vilnius (Lithuania)	וילנה (ליטא)	54.6872222222222	25.28		1	settlements
ווילקאָווישקי	Q852272	944	Vilkaviškis (Lithuania)	וילקובישק (ליטא)	54.666666666667	23.033333333333		1	settlements
ווירצבורג	Q2999	9880	Würzburg (Germany)	וירצבורג (גרמניה)	49.794444444444	9.9294444444444		1	settlements
וולאָצלאַוועק	Q106681	15730	Włocławek (Poland)	ולוצלאווק (פולין)	52.65	19.05	Włocławek	1	settlements
ווראַצלאָוו	Q1799	951	Wrocław (Poland)	ורוצלב (פולין)	51.11	17.0325		1	settlements
זאמאָשטש	Q145972	962	Zamość (Poland)	זמושץ' (פולין)	50.720555555556	23.258611111111		1	place
זכרון יעקב	Q198399	8254	Zikhron Ya'akov (Israel)	זכרון יעקב (ישראל)	32.570833333333	34.951666666667		1	settlements
חדרה	Q471886	858	Hadera (Israel)	חדרה (ישראל)	32.45	34.916666666		1	settlements
חיפה	Q41621	791	Haifa (Israel)	חיפה (ישראל)	32.8191666666667	34.9991666666667		1	settlements
טאַראַנטע	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		1	settlements
טאַרנאַפּאָל	Q156743	11525	Ternopilʹ (Ukraine)	טרנופול (אוקראינה)	49.566666666667	25.6		1	settlements
טאָראָׁנטאָ	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		1	settlements
טאָרנע	Q106281	765	Tarnów (Poland)	טרנוב (פולין)	50.0125	20.988333333333		1	settlements
טאָׁראָנטאָ	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		1	settlements
טאראנטא	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		1	settlements
טעלז	Q2222616	758	Telšiai (Lithuania)	טלז (ליטא)	55.98333333	22.25		1	settlements
טראָי		2287	Tarai (India and Nepal)	טראי (הודו ונפאל)	25.35061	69.26368		1	settlements
טשערנאוויץ	Q157725	6918	Chernivt︠s︡i (Ukraine)	צ'רנוביץ (אוקראינה)	48.290833333333	25.934444444444		1	settlements
יבנה	Q167677	9637	Yavne (Israel)	יבנה (ישראל)	31.883333333333	34.733333333333		1	venues
יעליסאַוועטגראד	Q158292	14587	Kirovohrad (Ukraine)	קירובגרד (אוקראינה)	48.510277777778	32.266666666667		1	settlements
כאַרקאַוו	Q42308	8380	Kharkiv (Ukraine)	חרקוב (אוקראינה)	49.9925	36.2311111111111		1	settlements
כפר חבד	Q2570492	1664	Kefar Habad (Israel)	"כפר חב""ד (ישראל)"	31.9887	34.851997222222		1	settlements
ל. א.	Q65	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	34.05223	-118.24368	Los Angeles	1	settlements
לאַס אַנדזשעלעס	Q65	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	34.05223	-118.24368		1	settlements
לאָמזשע	Q215633	156	Łomża (Poland)	לומזה (פולין)	53.1833333333333	22.0833333333333	Łomża	1	settlements
לאָנראָן	Q84	688	London (England)	לונדון (אנגליה)	51.507222222222	-0.1275	London	1	settlements
לבוב	Q36036	166	Lʹviv (Ukraine)	לבוב (אוקראינה)	49.8425	24.0322222222222		1	settlements
לובני	Q269517	18544	Lubny (Ukraine)	לובני (אוקראינה)	50.018564129341	32.986860348473		1	settlements
לוגאַנסק	Q134279	13981	Luhansʹk (Luhansʹka oblastʹ, Ukraine)	לוגנסק (אוקראינה)	48.5717084	39.2973153		1	settlements
לוד	Q207540	178	Lod (Israel)	לוד (ישראל)	31.95	34.9		1	settlements
לייפציג	Q2079	579	Leipzig (Germany)	ליפציג (גרמניה)	51.34	12.375		1	settlements
לין	Q49188	8663	Lynn (Mass.)	לין (מסצ'וסטס)	42.466666666667	-70.95		1	settlements
לינץ	Q41329	1683	Linz (Austria)	לינץ (אוסטריה)	48.3058333333333	14.2863888888889		1	settlements
לעמבערנ	Q36036	166	Lʹviv (Ukraine)	לבוב (אוקראינה)	49.8425	24.0322222222222	Lviv	1	settlements
לעמערג	Q36036	166	Lʹviv (Ukraine)	לבוב (אוקראינה)	49.8425	24.0322222222222		1	settlements
מאַרבורג	Q3869	202	Marburg (Germany)	מרבורג (גרמניה)	50.816666666667	8.7666666666667		1	settlements
מאַריאַמפּאָל	Q1351046	681	Marijampolė (Lithuania)	מרימפול (ליטא)	54.556666666667	23.354444444444		1	settlements
מאַריאָמפּאָל	Q1351046	681	Marijampolė (Lithuania)	מרימפול (ליטא)	54.556666666667	23.354444444444		1	settlements
מאָנטעווידעאָ	Q1335	7220	Montevideo (Uruguay)	מונטווידאו (אורוגוואי)	-34.8666666666667	-56.1666666666667		1	settlements
מאָסקווא	Q649	188	Moscow (Russia)	מוסקבה (רוסיה)	55.755833333333	37.617777777778		1	settlements
מונקאַטש	Q146456	1638	Mukacheve (Ukraine)	מונקטש (אוקראינה)	48.441388888889	22.713611111111	Mukachevo	1	settlements
מיאמי ביטש	Q8652	229	Miami (Fla.)	מיאמי (פלורידה)	25.783333333333	-80.216666666667		1	settlements
מיזורי	Q1581	6323	Missouri	מיזורי	38.5	-92.5		1	province
מיטוי	Q179830	15522	Jelgava (Latvia)	ילגבה (לטביה)	56.652222222222	23.724444444444		1	province
מיינינגען	Q487278	634	Meiningen (Germany)	מיינינגן (גרמניה)	50.55	10.416666666667		1	settlements
מיר	Q922668	12124	Mir (Belarus)	מיר (בלארוס)	53.4547222222222	26.4666666666667		1	settlements
נאָשעלסק	Q1579038	34	Nasielsk (Poland)	נאשלסק (פולין)	52.6	20.8		1	settlements
נויאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		1	settlements
נחלת יצחק	Q2906653	22914	Nahalat Yits'hak (Tel Aviv-Yafo, Israel)	נחלת יצחק (תל אביב-יפו, ישראל)	32.0755555555556	34.7986111111111		1	settlements
ניו הייווען	Q49145	59	New Haven (Conn.)	ניו הייבן (קונטיקט)	41.308333333333	-72.925		1	settlements
ניו-הייווען	Q49145	59	New Haven (Conn.)	ניו הייבן (קונטיקט)	41.308333333333	-72.925		1	settlements
ניו-יארק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		1	settlements
ניואַרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		1	settlements
ניויאָָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		1	settlements
נירנבערג	Q2090	10	Nuremberg (Germany)	נירנברג (גרמניה)	49.4538888888889	11.0775		1	settlements
סאַן פּאַולאָ	Q174	25	São Paulo (Brazil)	סאו פאולו (ברזיל)	-23.550394444444	-46.633947222222		1	settlements
סאַן פּאָולאָ	Q174	25	São Paulo (Brazil)	סאו פאולו (ברזיל)	-23.550394444444	-46.633947222222		1	settlements
סאַן פאַולאָ	Q174	25	São Paulo (Brazil)	סאו פאולו (ברזיל)	-23.550394444444	-46.633947222222		1	settlements
סאַראַטאָוו	Q5332	112	Saratov (Russia)	סרטוב (רוסיה)	51.533333333333	46.0		1	settlements
סאָמאַרקאַנד	Q5753	635	Samarqand (Uzbekistan)	סמרקנד (אוזבקיסטן)	39.6547222222222	66.9758333333333		1	settlements
סאָראָקע	Q853785	63	Soroca (Moldova)	סורוקה (מולדובה)	48.155833333333	28.2975		1	settlements
סווענציאַן	Q42936	1739	Soncino (Italy)	שונצינו (איטליה)	45.4	9.8666666666667		1	settlements
סטאַניסלאַוו	Q156726	526	Stanislav (Ukraine)	סטניסלב (אוקראינה)	48.922777777778	24.710555555556		1	settlements
סטאָמבול	Q406	533	Istanbul (Turkey)	איסטנבול (תורכיה)	41.01	28.960277777		1	venues
סטאָניסלאַוואוו	Q156726	526	Stanislav (Ukraine)	סטניסלב (אוקראינה)	48.922777777778	24.710555555556		1	settlements
סטאָניסלאוו	Q156726	526	Stanislav (Ukraine)	סטניסלב (אוקראינה)	48.922777777778	24.710555555556		1	settlements
סיביר	Q5428	2419	Siberia (Russia)	סיביר (רוסיה)	60.0	105.0		1	venues
סיגעט	Q334874	99	Sighet (Romania)	סיגט (רומניה)	47.930944444444	23.894694444444		1	settlements
סימפּעראָפּאָל	Q19566	101	Simferopol (Ukraine)	סימפרופול (אוקראינה)	44.948376	34.100039		1	settlements
סלאָבאָדקע		23606	Vilijampolė (Kaunas, Lithuania)	ויליאמפולה (קובנה, ליטא)				1	settlements
סעוואַסטאָפּאָל	Q7525	652	Sevastopolʹ (Ukraine)	סבסטופול (אוקראינה)	44.605	33.5225		1	settlements
פּאַביאַניץ	Q158589	82	Pabianice (Poland)	פביניץ (פולין)	51.6641666666667	19.35		1	settlements
פּאָריז	Q90	419	Paris (France)	פריס (צרפת)	48.856577777778	2.3518277777778		1	settlements
פּינסק	Q204150	409	Pinsk (Belarus)	פינסק (בלארוס)	52.1152777777778	26.1030555555556		1	settlements
פּעטערסאַן	Q138391	6811	Paterson (N.J.)	פטרסון (ניו ג'רזי)	40.915555555556	-74.163055555556		1	settlements
פּעטערסאָן	Q138391	6811	Paterson (N.J.)	פטרסון (ניו ג'רזי)	40.915555555556	-74.163055555556		1	settlements
פּעטראָגראד	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		1	settlements
פּראָג	Q1085	638	Prague (Czech Republic)	פראג (צ'כיה)	50.0875	14.4213888888889		1	settlements
פּראָווידענס	Q18383	7741	Providence (R.I.)	פרובידנס (רוד איילנד)	41.82399	-71.41283		1	settlements
פּרעסבורג	Q1780	574	Bratislava (Slovakia)	ברטיסלבה (סלובקיה)	48.144722222222	17.112777777778		1	settlements
פֿילאַדעלפֿיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		1	settlements
פֿילאַדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		1	settlements
פאָדגורזע	Q2553877	168	Podgorze (Krakow, Poland)	פודגורזה (קרקוב, פולין)	50.0416	20.0177		1	settlements
פאָריז	Q90	419	Paris (France)	פריס (צרפת)	48.856577777778	2.3518277777778		1	settlements
פיורדאָ	Q3075	167	Fürth (Germany)	פירת (גרמניה)	49.478333333333	10.990277777778		1	place
פלאַנסק	Q270656	648	Płońsk (Poland)	פלונסק (פולין)	52.625	20.3833333333333		1	settlements
פעלדאַפינג	Q507424	370	Feldafing (Germany)	פלדאפינג (גרמניה)	47.9460194444444	11.2932611111111		1	settlements
ציריך	Q72	434	Zurich (Switzerland)	ציריך (שווייץ)	47.3744444444444	8.54111111111111		1	settlements
צפת	Q188336	377	Tsefat (Israel)	צפת (ישראל)	32.965833333	35.498333333		1	settlements
קאַזאָן	Q900	10740	Kazanʹ (Russia)	קאזאן (רוסיה)	55.790833333333	49.114444444444		1	settlements
קאַליש	Q52842	436	Kalisz (Poland)	קליש (פולין)	51.7575	18.08		1	settlements
קאַנקאָרדיאָ	Q52578	389	Concordia (Argentina)	קונקורדיה (ארגנטינה)	-31.392222222222	-58.016944444444		1	venues
קאַרלין	Q4215244	10484	Karlin (Belarus)	קרלין (בלארוס)	52.11666667	26.1		1	settlements
קאָוועל	Q156704	17237	Kovelʹ (Ukraine)	קובל (אוקראינה)	51.216666666667	24.716666666667		1	settlements
קאָלאַראַש	Q1014367	19386	Călărași (Moldova : Raionul)	קאלארשי (מולדובה : מחוז)	47.254444444444	28.308055555556		1	settlements
קאָלאָמעא	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	48.516666666667	25.033333333333	Kolomyia	1	settlements
קאָלגאָרי	Q36312	7681	Calgary (Alta.)	קלגרי (אלברטה)	51.05	-114.066666666667		1	settlements
קאָליש	Q52842	436	Kalisz (Poland)	קליש (פולין)	51.7575	18.08		1	settlements
קאָמענעץ-פּאָדאָלסק	Q193965	9048	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)	קמיניץ-פודולסק (אוקראינה)	48.680555555556	26.580555555556		1	settlements
קאָנסטאָנטינאָפּאָל	Q406	533	Istanbul (Turkey)	איסטנבול (תורכיה)	41.01	28.960277777		1	settlements
קאָפּענהאַגען	Q1748	390	Copenhagen (Denmark)	קופנהגן (דנמרק)	55.676111111111	12.568888888889		1	settlements
קאלאמעא	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	48.516666666667	25.033333333333	Kolomyia	1	settlements
קארלסבאַד	Q384544	6093	Karlovy Vary (Czech Republic)	קרלובי ורי (צ'כיה)	50.230555555556	12.8725		1	settlements
קובא	Q647982	18742	Quba (Azerbaijan)	קובה (אזרבייג'ן)	41.365277777778	48.526388888889		1	countries
קווינס	Q18424	10616	Queens (New York, N.Y.)	קווינס (ניו יורק, ניו יורק)	40.704166666667	-73.917777777778		1	settlements
קורסק	Q3159	7865	Kursk (Russia)	קורסק (רוסיה)	51.737222222222	36.187222222222		1	settlements
קייפּטאָן	Q5465	397	Cape Town (South Africa)	קייפטאון (דרום אפריקה)	-33.9252777777778	18.4238888888889		1	settlements
קלויזענבורג	Q100188	400	Cluj-Napoca (Romania)	קלוז'-נאפוקה (רומניה)	46.78	23.559444444444		1	settlements
קליוולאנד	Q37320	402	Cleveland (Ohio)	קליבלנד (אוהיו)	41.482222222222	-81.669722222222		1	settlements
קעלן	Q365	437	Cologne (Germany)	קלן (גרמניה)	50.942222222222	6.9577777777778		1	settlements
קעשנעוו	Q21197	399	Chișinău (Moldova)	קישינב (מולדובה)	47.0227777777778	28.8352777777778		1	settlements
קראקא	Q31487	489	Krakow (Poland)	קרקוב (פולין)	50.061388888889	19.937222222222		1	settlements
קראקע	Q31487	489	Krakow (Poland)	קרקוב (פולין)	50.061388888889	19.937222222222		1	settlements
קרית אונו	Q152501	476	Kiryat Ono (Israel)	קרית אונו (ישראל)	32.063611111111	34.855277777778		1	settlements
קרית גת	Q152406	478	Kiryat Gat (Israel)	קרית גת (ישראל)	31.606111111111	34.771666666667		1	settlements
קרית שאַול	Q2897810	26741	Kiryat Shaul (Ramat Hasharon, Israel)	קרית שאול (רמת השרון, ישראל)	32.1244444	34.8238889		1	place
קרית-ביאליק	Q152374	866	Kiryat Bialik (Israel)	קרית ביאליק (ישראל)	32.833055555	35.066388888		1	settlements
ראַדין	Q2995176	16171	Radunʹ (Belarus)	רדין (בלארוס)	54.0530555555556	24.9977777777778		1	settlements
ראַטשעסטער	Q49218	445	Rochester (N.Y.)	רוצ'סטר (ניו יורק)	43.165555555556	-77.611388888889		1	settlements
ראָדין	Q2995176	16171	Radunʹ (Belarus)	רדין (בלארוס)	54.0530555555556	24.9977777777778		1	settlements
ראָטשעסטער	Q49218	445	Rochester (N.Y.)	רוצ'סטר (ניו יורק)	43.165555555556	-77.611388888889		1	province
ראָסיין	Q658562	12861	Raseiniai (Lithuania)	ראסייני (ליטא)	55.366666666667	23.116666666667		1	settlements
ראטשעסטער	Q49218	445	Rochester (N.Y.)	רוצ'סטר (ניו יורק)	43.165555555556	-77.611388888889		1	settlements
ריאָ	Q8678	448	Rio de Janeiro (Brazil)	ריו דה ז'ניירו (ברזיל)	-22.9111111111111	-43.2055555555556		1	settlements
רעוועל	Q1770	7985	Tallinn (Estonia)	טאלין (אסטוניה)	59.437222222222	24.745		1	settlements
רעזשיצע	Q180379	15523	Rēzekne (Latvia)	רזקנה (לטביה)	56.506666666667	27.330833333333		1	settlements
שאַוועל	Q134712	298	Šiauliai (Lithuania)	שול (ליטא)	55.928055555556	23.316666666667		1	settlements
שאַנכיי	Q8686	254	Shanghai (China)	שנחאי (סין)	31.166666666667	121.46666666667		1	settlements
שיקאגאָ	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		1	settlements
תּל-אָבֿיבֿ	Q33935	272	Tel Aviv-Yafo (Israel)	תל אביב-יפו (ישראל)	32.08	34.78		1	settlements
תל-אָביב	Q33935	272	Tel Aviv-Yafo (Israel)	תל אביב-יפו (ישראל)	32.08	34.78		1	settlements
פֿאָלטאַווע	Q156747	511	Poltava (Ukraine)	פולטבה (אוקראינה)	49.5894444444444	34.5513888888889	Poltava	1	settlements
פֿאָלטישען	Q303015	81	Fălticeni (Romania)	פאלטיצ'ני (רומניה)	47.4625	26.3		1	settlements
פֿילאדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		1	settlements
